학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000002053,서울공릉초등학교,초등학교,1979-03-01,공립,본교,운영,서울특별시 노원구 공릉동 610-1,서울특별시 노원구 동일로173길 12 (공릉동.서울공릉초등학교),7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2022-10-06,37.61861443,127.0746314,2023-03-22
B000026107,산들초등학교,초등학교,2020-03-01,공립,본교,운영,경기도 파주시 목동동 910,경기도 파주시 교하로 60 . 산들초등학교 (목동동),7530000,경기도교육청,7681000,경기도파주교육지원청,2013-11-29,2022-10-06,37.72937777,126.73125,2023-03-22
B000006381,목포남초등학교,초등학교,1964-03-02,공립,본교,운영,전라남도 목포시 호남동 567,전라남도 목포시 산정로21번길 22 . 목포남초등학교 (호남동),8490000,전라남도교육청,8501000,전라남도목포교육지원청,2013-11-29,2022-10-06,34.79171024,126.3915809,2023-03-22
B000007682,생림초등학교,초등학교,1924-03-01,공립,본교,운영,경상남도 김해시 생림면 봉림리 686-2,경상남도 김해시 생림면 봉림로 80-10 (생림면. 생림초등학교),9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2022-10-06,35.33245732,128.8477918,2023-03-22
B000002393,서울동신초등학교,초등학교,1948-11-01,공립,본교,운영,서울특별시 성북구 보문동3가 228,서울특별시 성북구 보문사길 50 (보문동3가.서울동신초등학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.58328787,127.017058,2023-03-22
B000002640,대사초등학교,초등학교,1946-06-01,공립,본교,운영,부산광역시 강서구 강동동 101-64,부산광역시 강서구 낙동북로73번길 29 (강동동. 대사초등학교),7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-11-29,2022-10-06,35.22041811,128.9385487,2023-03-22
B000002815,서대구초등학교,초등학교,1981-06-16,공립,본교,운영,대구광역시 서구 비산동 1484,대구광역시 서구 서대구로63길 28-13 . 서대구초등학교 (비산동),7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2022-10-06,35.88941379,128.5577335,2023-03-22
B000002523,성전초등학교,초등학교,1971-03-01,공립,본교,운영,부산광역시 부산진구 전포동 164-8,부산광역시 부산진구 전포대로298번길 15 (전포동. 성전초등학교),7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2013-11-29,2022-10-06,35.16398833,129.0663612,2023-03-22
B000001893,서울연신초등학교,초등학교,1976-03-18,공립,본교,운영,서울특별시 은평구 불광동 73-1,서울특별시 은평구 연서로 347 (불광동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.62605996,126.9277513,2023-03-22
B000007365,매원초등학교,초등학교,1949-09-01,공립,본교,운영,경상북도 칠곡군 왜관읍 매원리 496-1,경상북도 칠곡군 왜관읍 매원1길 5-32 (왜관읍.매원초등학교),8750000,경상북도교육청,8941000,경상북도칠곡교육지원청,2013-11-29,2022-10-06,35.99503684,128.4294419,2023-03-22
B000004169,석우초등학교,초등학교,2007-03-01,공립,본교,운영,경기도 화성시 반송동 20,경기도 화성시 동탄시범한빛길 32 . 석우초등학교 (반송동),7530000,경기도교육청,7679000,경기도화성오산교육지원청,2013-11-29,2022-10-06,37.20927868,127.0681992,2023-03-22
B000002236,서울내발산초등학교,초등학교,1984-03-01,공립,본교,운영,서울특별시 강서구 내발산동 707,서울특별시 강서구 강서로46길 23 (내발산동.내발산초등학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.55088255,126.8381642,2023-03-22
B000002812,대구비봉초등학교,초등학교,1986-03-01,공립,본교,운영,대구광역시 서구 비산동 705-1,대구광역시 서구 달서로45길 30 (비산동. 비봉초등학교),7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2022-10-06,35.88276366,128.5686561,2023-03-22
B000024938,신명초등학교,초등학교,2017-03-01,공립,본교,운영,부산광역시 강서구 명지동 3427,부산광역시 강서구 명지국제7로 178 (명지동),7150000,부산광역시교육청,7201000,부산광역시북부교육지원청,2013-12-02,2022-10-06,35.09523277,128.9207165,2023-03-22
B000003422,대전변동초등학교,초등학교,1981-04-29,공립,본교,운영,대전광역시 서구 변동 36-3,대전광역시 서구 유등로 373 . 대전변동초등학교 (변동),7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2022-10-06,36.32497415,127.3856136,2023-03-22
B000002174,서울대명초등학교,초등학교,1986-05-06,공립,본교,운영,서울특별시 강동구 명일동 234,서울특별시 강동구 상암로 271 (명일동.서울대명초등학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.54766615,127.1532897,2023-03-22
B000007449,석전초등학교,초등학교,1976-11-25,공립,본교,운영,경상남도 창원시 마산회원구 석전동 243-1,경상남도 창원시 마산회원구 석전동로 8 (석전동),9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2022-10-06,35.23226945,128.5761882,2023-03-22
B000023989,솔샘초등학교,초등학교,2014-03-01,공립,본교,운영,강원도 원주시 무실동 1863-1,강원도 원주시 무실로 381 . 솔샘초등학교 (무실동. 솔샘초등학교),7800000,강원도교육청,7821000,강원도원주교육지원청,2013-11-29,2022-10-06,37.32997035,127.9295665,2023-03-22
B000002471,옥천초등학교,초등학교,1981-12-29,공립,본교,운영,부산광역시 사하구 괴정동 472-4,부산광역시 사하구 사하로 134 (감천동.옥천초등학교),7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2013-11-29,2022-10-06,35.09388695,128.9936902,2023-03-22
B000005503,영춘초등학교,초등학교,1906-06-01,공립,본교,운영,충청북도 단양군 영춘면 상리 640,충청북도 단양군 영춘면 온달평강로 63-6 (영춘면.영춘초등학교),8000000,충청북도교육청,8111000,충청북도단양교육지원청,2013-11-29,2022-10-06,37.08079639,128.4826146,2023-03-22
B000003746,신백현초등학교,초등학교,2010-03-01,공립,본교,운영,경기도 성남시 분당구 백현동 559,경기도 성남시 분당구 판교역로14번길 42 . 신백현초등학교 (백현동),7530000,경기도교육청,7551000,경기도성남교육지원청,2013-11-29,2022-10-06,37.38757937,127.1117509,2023-03-22
B000001922,서울홍연초등학교,초등학교,1975-07-03,공립,본교,운영,서울특별시 서대문구 홍은동 305,서울특별시 서대문구 백련사길 55 . 서울홍연초등학교 (홍은동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.58211871,126.9306604,2023-03-22
B000008062,보성초등학교,초등학교,1940-07-01,공립,본교,운영,제주특별자치도 서귀포시 대정읍 보성리 1629-1,제주특별자치도 서귀포시 대정읍 추사로55번길 6-1 (대정읍),9290000,제주특별자치도교육청,9299000,제주특별자치도서귀포시교육지원청,2013-11-29,2022-10-06,33.24993808,126.2758247,2023-03-22
B000007796,칠서초등학교,초등학교,1923-05-20,공립,본교,운영,경상남도 함안군 칠서면 청계리 729,경상남도 함안군 칠서면 청계2길 9 (칠서면. 칠서초등학교),9010000,경상남도교육청,9131000,경상남도함안교육지원청,2013-11-29,2022-10-06,35.33203612,128.4982877,2023-03-22
B000007776,지정초등학교,초등학교,1924-04-01,공립,본교,운영,경상남도 의령군 지정면 봉곡리 775-1,경상남도 의령군 지정면 함의로4길 5 (지정면. 지정초등학교),9010000,경상남도교육청,9121000,경상남도의령교육지원청,2013-11-29,2022-10-06,35.38345913,128.38742,2023-03-22
B000005500,가곡초등학교,초등학교,1934-04-01,공립,본교,운영,충청북도 단양군 가곡면 사평리 435,충청북도 단양군 가곡면 남한강로 548 . 가곡초등학교 (가곡면),8000000,충청북도교육청,8111000,충청북도단양교육지원청,2013-11-29,2022-10-06,37.02689438,128.3855597,2023-03-22
B000004080,진말초등학교,초등학교,1999-07-01,공립,본교,운영,경기도 시흥시 장곡동 827,경기도 시흥시 황고개로 567 (장곡동.진말초등학교),7530000,경기도교육청,7781000,경기도시흥교육지원청,2013-11-29,2022-10-06,37.38051877,126.7881466,2023-03-22
B000006623,풍양초등학교,초등학교,1928-09-30,공립,본교,운영,전라남도 고흥군 풍양면 야막리 506-2,전라남도 고흥군 풍양면 죽시장터길 13-6 (풍양면),8490000,전라남도교육청,8591000,전라남도고흥교육지원청,2013-11-29,2022-10-06,34.5756492,127.2435938,2023-03-22
B000004824,교동초등학교,초등학교,1954-10-20,공립,본교,운영,강원도 춘천시 교동 113-4,강원도 춘천시 교동길 29 (교동. 교동초등학교),7800000,강원도교육청,7811000,강원도춘천교육지원청,2013-11-29,2022-10-06,37.88111877,127.7373962,2023-03-22
B000002776,대구매호초등학교,초등학교,1997-03-03,공립,본교,운영,대구광역시 수성구 매호동 611-1,대구광역시 수성구 달구벌대로647길 30 (매호동.대구매호초등학교),7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2022-10-06,35.84150742,128.7121182,2023-03-22
B000006216,벽량초등학교,초등학교,1936-06-29,공립,본교,운영,전라북도 김제시 부량면 대평리 66,전라북도 김제시 부량면 대평2길 99 (부량면. 벽량초등학교),8320000,전라북도교육청,8381000,전라북도김제교육지원청,2013-11-29,2022-10-06,35.73014148,126.8481832,2023-03-22
B000024417,현동초등학교,초등학교,1939-03-28,공립,본교,운영,경상남도 창원시 마산합포구 현동 490,경상남도 창원시 마산합포구 현동6길 12 (현동. 현동초등학교),9010000,경상남도교육청,9022000,경상남도창원교육지원청,2013-11-29,2022-10-06,35.1469695,128.5565283,2023-03-22
B000002743,대구신천초등학교,초등학교,1958-04-01,공립,본교,운영,대구광역시 동구 신천동 185-1,대구광역시 동구 송라로6길 5 (신천동),7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2022-10-06,35.87162754,128.6210089,2023-03-22
B000002921,대구호산초등학교,초등학교,2007-09-01,공립,본교,운영,대구광역시 달서구 호산동 357-57,대구광역시 달서구 달서대로109길 116 (호산동. 대구호산초등학교),7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2022-10-06,35.84907047,128.4790049,2023-03-22
B000006346,동호초등학교,초등학교,1940-05-29,공립,본교,운영,전라북도 고창군 해리면 동호리 103-4,전라북도 고창군 해리면 신동호길 18 (해리면),8320000,전라북도교육청,8451000,전라북도고창교육지원청,2013-11-29,2022-10-06,35.50756379,126.4941685,2023-03-22
B000003838,명학초등학교,초등학교,1976-11-06,공립,본교,운영,경기도 안양시 만안구 안양동 349-13,경기도 안양시 만안구 명학로 55 . 명학초등학교 (안양동),7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2022-10-06,37.37997664,126.9344732,2023-03-22
B000002305,서울신상도초등학교,초등학교,1982-04-12,공립,본교,운영,서울특별시 동작구 상도동 204-333,서울특별시 동작구 장승배기로 14 (상도동.서울신상도초등학교),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.50034802,126.9446159,2023-03-22
B000024304,보람초등학교,초등학교,2016-03-01,공립,본교,운영,세종특별자치시 보람동 632-3,세종특별자치시 보람동로 39 . 보람초등학교 (보람동),9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2022-10-06,36.47888476,127.2935107,2023-03-22
